claim_id,claim_type_hint,description
CLM001,motor,"On the morning of March 14th, I was driving to work on Highway 9 when a red pickup truck ran a red light and collided with the front-left side of my vehicle. My car sustained significant front-end damage and the airbags deployed. I was taken to the ER and treated for whiplash and a minor concussion. I have attached the police report and medical records. Please process this as soon as possible."
CLM002,property,"Last Tuesday evening, a severe thunderstorm caused a large oak tree in my backyard to fall onto the roof of my house. The tree crushed a section of the roof above the master bedroom and water has been leaking in ever since. I have covered the area with a tarp but the damage is getting worse. A contractor estimates repairs will cost around $18,000. I need someone to come inspect this urgently."
CLM003,liability,"A customer slipped and fell in my restaurant last Saturday evening. The floor near the entrance had been mopped and a wet floor sign was placed, but the customer claims it was inadequate. They are threatening to sue and have already contacted a lawyer. I received a formal notice from their attorney this morning. This is extremely serious and I need your legal team involved immediately. My entire business is at risk."
CLM004,motor,"Hi, I wanted to report a minor parking lot incident that happened yesterday. Someone backed into my car while I was parked at the grocery store. The other driver left a note with their contact information, which was very considerate. The damage appears to be a small dent on the rear bumper and some paint scuffs. I took photos and have the other driver's details. There's no rush — whenever someone can get back to me to walk through the next steps would be great."
CLM005,property,"I am absolutely furious. I filed a claim three weeks ago for water damage caused by a burst pipe in my kitchen and I have heard nothing. Meanwhile, my kitchen is completely unusable, I am eating takeout every night, and mold has started to grow on the walls. I have called your office four times and been put on hold every single time. If I do not hear back within 24 hours, I will be filing a complaint with the state insurance commissioner and consulting an attorney."
CLM006,liability,"One of my delivery drivers accidentally backed our company van into a residential fence while making a drop-off last Thursday. The homeowner was present and has provided a repair estimate of approximately $750. The driver reported the incident immediately and we have full documentation. We would like to resolve this quickly and fairly for the homeowner. Please let us know how to proceed."
CLM007,motor,"My car was broken into overnight on April 2nd while parked on a public street outside my apartment. The rear passenger window was smashed and my laptop bag, some camera equipment, and a gym bag were stolen from the back seat. I filed a police report (report number PD-2024-04-112) the following morning. The window replacement alone is $400, and the stolen items total approximately $2,200. I understand this falls under comprehensive coverage."
CLM008,property,"I need to file a claim for a fire that damaged my garage. The fire started due to an electrical fault in an old freezer unit and spread to the garage walls and ceiling before the fire department arrived. The structure is still standing but a significant portion of the interior is damaged, and several tools and a motorcycle stored inside were destroyed. I'm staying calm about this — thankfully no one was hurt — but I want to make sure I document everything correctly."
CLM009,liability,"I received a demand letter today from a law firm representing a former visitor to my property. They allege that their client tripped on a cracked section of my driveway six months ago and suffered a broken wrist. I was not even aware of the incident until this letter arrived. The letter demands $45,000 in damages and threatens litigation if we do not respond within 30 days. I need immediate legal guidance and representation. This cannot wait."
CLM010,motor,"I'm not entirely sure how to categorize this situation, so I'll describe it as best I can. Last week, while my car was parked in front of my house, a neighbor's kid apparently kicked a football that hit my windshield and cracked it. The neighbor admits it happened but says it was an accident and doesn't think they should have to pay. I'm not angry, but I also don't think I should be out of pocket for this. It could potentially be a liability claim against my neighbor's homeowner policy, or maybe my own auto policy covers this. I'm not sure which way to go."
